r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
4,8,269.0,1413,7089.0,2.8139302826007055,0.23253943344321581
8,12,434.0,3802,17999.0,1.3071715489384168,0.1357159734669657
12,16,563.0,7253,32485.0,0.5065733226354672,0.08862196015502748
16,20,794.0,11072,50026.0,0.3796513096926621,0.08115595939368601
20,24,964.0,15419,69461.0,0.17312740877868812,0.06900749463404048
24,28,1192.0,20359,89877.0,0.06597846353107029,0.06270461550182767
28,32,1389.0,25014,111291.0,0.005136229643169747,0.05912566056724528
32,36,1574.0,30537,132064.0,-0.11591698449341536,0.05200488326509321
36,40,1620.0,34985,151910.0,-0.23245799905653466,0.04514952946726267
40,44,1856.0,39027,170294.0,-0.1976637960087183,0.047196247293604804
44,48,2184.0,42122,188112.0,-0.07378449612437339,0.05448326493386039
48,52,2417.0,46152,203173.0,-0.07743150909948632,0.05426873475885374
52,56,2502.0,48723,216048.0,-0.09271797611872483,0.0533695308165456
56,60,2508.0,50169,227737.0,-0.09746178637766655,0.05309048315425491
60,64,2688.0,50260,234600.0,0.007731926831210693,0.05927834863713004
64,68,2735.0,50179,238315.0,0.04638112270644095,0.061551830747437704
68,72,2591.0,48854,238774.0,0.04319034937932497,0.061364138198783814
72,76,2278.0,46654,235883.0,-0.008409645773745821,0.05832884436625024
76,80,2192.0,43429,230107.0,0.06889087840179295,0.06287593402363488
80,84,1815.0,39832,220898.0,0.021652593005003905,0.06009721135323553
84,88,1394.0,35506,206480.0,-0.04175473105633529,0.05636736876139204
88,92,1201.0,31171,188532.0,-0.01376333656096622,0.058013921378766695
92,96,940.0,26787,165288.0,-0.049583523417823086,0.05590685156365746
96,100,735.0,21892,139869.0,-0.0375033898501319,0.05661744765587459
100,104,678.0,17609,111554.0,0.031704876524801806,0.060688522148517755
104,108,528.0,13369,86516.0,0.06747028891269732,0.06279236993604101
108,112,524.0,10497,65778.0,0.20383824073866577,0.07081401416109799
112,116,363.0,7779,48837.0,0.15331315304005794,0.06784195017882694
116,120,190.0,5643,34462.0,-0.08383434067793244,0.066465642700454
120,124,142.0,3924,23475.0,-0.0641979614623522,0.07853076257968339
124,128,99.0,2516,15541.0,0.020632094611218184,0.10257738505514921
128,132,44.0,1429,9420.0,-0.04790927423798307,0.14353307744226226
132,136,18.0,818,5673.0,-0.12313494626705616,0.20667907522669035
136,140,9.0,409,3000.0,-0.06192409169550171,0.31269196943483274
140,144,4.0,168,1587.0,0.19460070250717887,0.5973003512535895
144,148,1.0,117,783.0,-0.36562280422649124,0.6343771957735087
