r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
4,8,147039.0,1696110,8497872.0,0.7345562623617223,0.017345562623617222
8,12,299376.0,4375994,21695178.0,0.3630286072262391,0.013630286072262389
12,16,488840.0,8111442,39633451.0,0.18691892725162887,0.01186918927251629
16,20,723851.0,12650552,61107633.0,0.11447004281332661,0.011144700428133265
20,24,967391.0,17750660,84999799.0,0.04991519398462304,0.01049915193984623
24,28,1229826.0,23165458,110375821.0,0.015558000576540216,0.010155580005765401
28,32,1507639.0,28767027,136342242.0,-0.0040169589501777205,0.009959830410498223
32,36,1772673.0,34278598,162087682.0,-0.02104795654758467,0.009789520434524154
36,40,2008275.0,39510927,186911005.0,-0.039316773373893936,0.009606832266261061
40,44,2244247.0,44288166,210036482.0,-0.03997328873740916,0.00960026711262591
44,48,2473669.0,48496855,231046518.0,-0.028254124422577367,0.009717458755774226
48,52,2677425.0,52122408,249450969.0,-0.016040424859109406,0.009839595751408907
52,56,2794174.0,55065127,264765104.0,-0.02431630645061097,0.00975683693549389
56,60,2896290.0,57251364,276755812.0,-0.022030372560625035,0.00977969627439375
60,64,2958750.0,58557276,284936862.0,-0.016594591609065443,0.009834054083909347
64,68,2966623.0,58773649,289029606.0,-0.006961239665780944,0.00993038760334219
68,72,2917155.0,57928638,288798525.0,0.004361846669757404,0.010043618466697575
72,76,2777434.0,56120293,284212234.0,0.002756093304697746,0.010027560933046978
76,80,2630494.0,53454908,275125233.0,0.01328331561824193,0.010132833156182419
80,84,2432593.0,49890578,261395120.0,0.022094997735048232,0.010220949977350482
84,88,2156704.0,45553613,242964997.0,0.012854669096749455,0.010128546690967495
88,92,1875647.0,40672392,219964619.0,0.0037567348522132503,0.010037567348522132
92,96,1606229.0,35392394,192652314.0,-0.003273925138783046,0.009967260748612171
96,100,1320215.0,29589487,161249215.0,-0.01618186437675173,0.009838181356232482
100,104,1032647.0,23470883,127580614.0,-0.030191688521147637,0.009698083114788524
104,108,810416.0,18233705,98186389.0,-0.03157202528399992,0.009684279747160001
108,112,657878.0,13911155,73815457.0,0.006760367407187015,0.010067603674071869
112,116,514590.0,10355601,53908291.0,0.033704432093336366,0.010337044320933363
116,120,384843.0,7431133,37997212.0,0.057224962891838926,0.010572249628918388
120,124,271898.0,5118423,25662413.0,0.06511243385540816,0.01065112433855408
124,128,180072.0,3343812,16438014.0,0.06138510353385821,0.010613851035338582
128,132,107320.0,2040907,9908995.0,0.023523583097747155,0.010235235830977471
132,136,56489.0,1161044,5575205.0,-0.06918318586577805,0.00930816814134222
136,140,27598.0,615275,2934328.0,-0.15618978711967973,0.008438102128803202
140,144,15444.0,317719,1475312.0,-0.10662640729487044,0.008933735927051297
144,148,7959.0,158083,698950.0,-0.1228879798786517,0.00983163643497308
