r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
4,8,16904.0,131762,653968.0,1.5709404401739224,0.04883978604746997
8,12,30101.0,339192,1665372.0,0.7713906674456785,0.03365085392591955
12,16,44577.0,626603,3044628.0,0.4066087807820402,0.026721144851274744
16,20,60106.0,979836,4702073.0,0.1949394461294482,0.02270009292191011
20,24,76830.0,1378000,6550899.0,0.06974501896370774,0.020321792381934673
24,28,95936.0,1805752,8502339.0,0.004961895182479519,0.01909111669006687
28,32,117952.0,2248373,10516779.0,-0.0158895827769298,0.018695004160037904
32,36,136123.0,2683209,12505899.0,-0.05665325724373525,0.01792062249473071
36,40,146916.0,3098705,14430572.0,-0.1288227724858391,0.01654962858584983
40,44,167305.0,3469925,16218927.0,-0.1074753508068405,0.01695516248744301
44,48,188796.0,3796049,17850640.0,-0.06849871565891287,0.017695596023642044
48,52,206392.0,4076045,19268590.0,-0.0438269306362435,0.018164282377898786
52,56,216870.0,4293384,20434763.0,-0.03931933458379065,0.018249912532277365
56,60,224686.0,4464861,21334521.0,-0.03921238500574542,0.01825194423804074
60,64,234979.0,4547442,21943623.0,-0.0010764503147767987,0.018976407108484052
64,68,239901.0,4544559,22221793.0,0.034908868977102984,0.019660015047276443
68,72,231425.0,4439524,22186141.0,0.04248248317195337,0.01980388990765927
72,76,214343.0,4269911,21806615.0,0.02523592684239536,0.019476259555734714
76,80,199852.0,4043252,21090026.0,0.030851480092117026,0.019582937413754647
80,84,180328.0,3754220,20008177.0,0.025289203382392454,0.01947727164250815
84,88,156411.0,3427196,18579178.0,-0.002441617480557816,0.01895047322403698
88,92,134406.0,3056944,16827206.0,-0.01760029718676831,0.018662505964257378
92,96,112326.0,2641940,14727865.0,-0.030848462694094147,0.018410832468135668
96,100,92125.0,2205785,12321175.0,-0.04223507449998169,0.018194522640138436
100,104,72171.0,1754803,9730858.0,-0.061360860429121575,0.01783119283359274
104,108,58837.0,1371513,7469573.0,-0.04812194434087289,0.018082690619829565
108,112,52005.0,1046657,5599711.0,0.059951024489136175,0.020135737276490137
112,116,42397.0,777544,4080807.0,0.13397475557183383,0.02154195545720763
116,120,30281.0,557430,2862781.0,0.11099906868529183,0.021105489635480364
120,124,20546.0,377952,1924429.0,0.10408955336459169,0.020974230565965753
124,128,13256.0,242339,1223228.0,0.10297030136022318,0.02095296829649721
128,132,7832.0,147384,727798.0,0.0514780987758214,0.019974778324439734
132,136,3502.0,83798,405041.0,-0.20391756769880515,0.015123063553782526
136,140,1487.0,43121,210884.0,-0.339343546169667,0.01713247858463685
140,144,941.0,21597,104450.0,-0.166411029732628,0.027174223802497913
144,148,449.0,10493,48481.0,-0.2378380155679704,0.035968647895533876
