r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
4,8,30.0,69,434.0,6.416373000813229,1.3540382624725618
8,12,39.0,225,1089.0,2.565545010674051,0.5709441398681755
12,16,32.0,373,1953.0,0.753076670905233,0.3099031004842569
16,20,66.0,601,3027.0,1.2266478645867216,0.2740814055379269
20,24,76.0,857,3993.0,0.7853765402327046,0.21493407787523328
24,28,60.0,1153,5414.0,-0.0036716088597304785,0.12862544220799643
28,32,71.0,1563,6539.0,-0.2866458537775903,0.08587774744525535
32,36,103.0,1789,7826.0,0.05088820159003959,0.12651207264618672
36,40,68.0,2286,9020.0,-0.7668369806227706,0.02827516932000747
40,44,92.0,2365,10154.0,-0.40771714908398715,0.07130247627559566
44,48,107.0,2691,11098.0,-0.4443487432817785,0.06689255055820284
48,52,135.0,2892,11902.0,-0.2770467556657286,0.0870333430603058
52,56,158.0,2969,12511.0,-0.09006900866708728,0.10954281864079236
56,60,154.0,2912,13067.0,-0.031145142116592278,0.11663641858258572
60,64,194.0,2987,13602.0,0.25231984715150835,0.15076159313557444
64,68,124.0,2785,13676.0,-0.11476455353177799,0.10656982440483868
68,72,145.0,2795,13751.0,0.03879128871228944,0.12505577546969454
72,76,118.0,2512,13294.0,0.012530635451307792,0.12189436432428166
76,80,111.0,2193,13135.0,0.18908978861069922,0.143149588597476
80,84,75.0,2080,12497.0,-0.05390016536620104,0.11389703569669506
84,88,51.0,1996,11607.0,-0.27195420554562905,0.10194680262348058
88,92,61.0,1629,10372.0,0.02760740356438686,0.1315716457483284
92,96,57.0,1342,8972.0,0.15012153943746187,0.1523373193542378
96,100,35.0,1134,7578.0,-0.026292120345677017,0.1645866714705067
100,104,34.0,919,6041.0,0.05120325121332719,0.18027987028029088
104,108,32.0,658,4500.0,0.260419816235673,0.22281284980053662
108,112,32.0,556,3459.0,0.3322957248311545,0.23551883539348895
112,116,17.0,406,2564.0,0.09063340794501347,0.26451745528144976
116,120,5.0,302,1853.0,-0.3540234977587552,0.2888894741757937
120,124,12.0,218,1193.0,0.19450274369742793,0.3448232403107283
124,128,9.0,153,738.0,0.16548666126047443,0.3884955537534915
128,132,3.0,82,395.0,-0.3033949518167201,0.40218511208746893
132,136,1.0,56,228.0,-1.0081792823918276,-0.008179282391827636
136,140,1.0,26,103.0,-0.5368898931459456,0.4631101068540544
140,144,1.0,13,46.0,0.38069424367100335,1.3806942436710035
144,148,1.0,10,14.0,1.104889781999757,2.104889781999757
