r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
4,8,2.0,1,26.0,8.717068878833585,6.87100529747999
8,12,6.0,12,73.0,8.019607843137255,3.6822394826152354
12,16,2.0,33,139.0,0.15411200451403564,0.8160804246406739
16,20,2.0,31,214.0,0.5435068108240181,1.0914241327412846
20,24,3.0,59,307.0,0.11778544208128425,0.6453537258818743
24,28,0.0,107,372.0,,
28,32,2.0,99,433.0,-0.7873250916994973,0.15038386984751265
32,36,6.0,133,549.0,-0.25837232282105316,0.3027682313689907
36,40,4.0,165,587.0,-1.077780004676487,-0.03889000233824347
40,44,11.0,207,738.0,-0.21987087517933993,0.23521778136895122
44,48,14.0,171,788.0,0.7127127500746491,0.45774173662419443
48,52,10.0,171,794.0,0.18443473107126984,0.3745511489994218
52,56,14.0,179,920.0,0.6674587951122477,0.4456471084194941
56,60,10.0,226,931.0,-0.28303251125011397,0.22672502727407884
60,64,12.0,197,977.0,0.28810015988654064,0.37184248702684713
64,68,8.0,215,964.0,-0.3440898489409595,0.2318992578314701
68,72,10.0,191,954.0,0.11273824694098472,0.35187872999164016
72,76,1.0,156,902.0,-0.6031476892309028,0.3968523107690972
76,80,4.0,172,874.0,-0.4751349815288435,0.26243250923557826
80,84,7.0,152,845.0,0.08343582008740363,0.40950024877865543
84,88,3.0,122,763.0,-0.1760679807091034,0.4756973731315511
88,92,4.0,108,706.0,0.07532077987002184,0.537660389935011
92,96,7.0,85,571.0,0.8104746860799193,0.6842951106207428
96,100,0.0,64,457.0,,
100,104,2.0,45,360.0,0.34191176470588247,0.9488749085775362
104,108,1.0,43,278.0,-0.159413645554145,0.8405863544458549
108,112,1.0,32,189.0,-0.12660372791091734,0.8733962720890827
112,116,0.0,16,121.0,,
116,120,0.0,17,99.0,,
120,124,2.0,9,77.0,2.57257448433919,2.5261916441702743
124,128,0.0,6,38.0,,
128,132,0.0,9,25.0,,
132,136,0.0,5,14.0,,
136,140,0.0,1,10.0,,
140,144,0.0,1,7.0,,
144,148,0.0,0,1.0,,
