r min,r max,DD count,DR count,RR count,Landy Szalay,Pois Error
4,8,114913.0,1115709,5490093.0,1.0611348439566723,0.022992513024314185
8,12,219269.0,2871155,14028388.0,0.5165633654914052,0.01691767185223127
12,16,338830.0,5279405,25620336.0,0.2620472347676234,0.014078476023912325
16,20,482546.0,8223901,39540009.0,0.1406683386958317,0.012724461822953904
20,24,632534.0,11545165,55068171.0,0.052270533756081886,0.011738360555801339
24,28,799470.0,15067249,71566434.0,0.011901862104141084,0.011288037176206373
28,32,981732.0,18721844,88477577.0,-0.006265280948010583,0.011085377813833303
32,36,1143884.0,22355974,105184578.0,-0.03775427403862387,0.010734109634615775
36,40,1276484.0,25795922,121293445.0,-0.07419912150429056,0.01032755756817509
40,44,1434964.0,28895496,136304411.0,-0.0670152943061327,0.010407695090910375
44,48,1593562.0,31643939,149946924.0,-0.04744664683205004,0.010625988611703193
48,52,1732229.0,33959288,161840328.0,-0.027842401654312277,0.010844679234445612
52,56,1817080.0,35841351,171711643.0,-0.028938362650243032,0.010832453495044348
56,60,1883482.0,37234916,179346555.0,-0.02580855044934615,0.0108673673911457
60,64,1938726.0,37994567,184487350.0,-0.008451941522521924,0.011060985027555092
64,68,1949570.0,38039587,186937369.0,0.008158185707863797,0.01124627546005636
68,72,1906384.0,37351281,186643709.0,0.02033446727653278,0.011382105152798784
72,76,1798957.0,36054627,183329552.0,0.014747315522936583,0.011319778973684379
76,80,1690163.0,34217668,177165862.0,0.02273954762056793,0.011408934470296804
80,84,1547197.0,31878722,168111783.0,0.024183671501824017,0.011425044060237442
84,88,1360255.0,29115875,156168181.0,0.006747791923083997,0.011230542138405405
88,92,1178090.0,25984367,141361970.0,-0.004642484282688302,0.011103480546690707
92,96,998469.0,22534704,123766275.0,-0.013896167870171854,0.011000253219748983
96,100,819290.0,18793960,103482661.0,-0.02431734351634235,0.010884002205180099
100,104,642076.0,14958452,81822197.0,-0.04333383616497287,0.010671868119832695
104,108,508867.0,11642779,62916417.0,-0.04160320120103193,0.010691173817888025
108,112,425573.0,8902321,47276573.0,0.017271506678830435,0.011347937004294515
112,116,341676.0,6629470,34494400.0,0.06876339587777953,0.011922342864505312
116,120,253122.0,4753869,24297182.0,0.08536458219609269,0.012107533558729927
120,124,177497.0,3265129,16400894.0,0.09156198776978891,0.01217666728318661
124,128,116783.0,2140054,10510653.0,0.0751606388524738,0.0119937058288677
128,132,68729.0,1301651,6324099.0,0.028687218638730576,0.011475282338681255
132,136,33200.0,735049,3546174.0,-0.13644357480270927,0.00963320396615268
136,140,15598.0,387291,1863839.0,-0.24092643858734206,0.008467669545428332
140,144,9627.0,196950,933932.0,-0.07788110863854475,0.010286484012319238
144,148,4967.0,98884,443912.0,-0.10849010508323087,0.012649666850089857
